"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon May 12 14:53:33 GMT 2025","Mon May 12 14:53:34 GMT 2025","710","","ui.SlowLoginTests","","ui.SlowLoginTests","openSlowLoginTest","openSlowLoginTest()",""
"passed","Mon May 12 14:53:40 GMT 2025","Mon May 12 14:53:41 GMT 2025","881","","ui.WebFormTests","","ui.WebFormTests","dropdownDataListTest","dropdownDataListTest(String) [3] Seattle",""
"passed","Mon May 12 14:53:39 GMT 2025","Mon May 12 14:53:40 GMT 2025","995","","ui.WebFormTests","","ui.WebFormTests","dropdownDataListTest","dropdownDataListTest(String) [1] San Francisco",""
"passed","Mon May 12 14:53:44 GMT 2025","Mon May 12 14:53:45 GMT 2025","942","","ui.WebFormTests","","ui.WebFormTests","radioButtonsTest","radioButtonsTest()",""
"passed","Mon May 12 14:53:34 GMT 2025","Mon May 12 14:53:35 GMT 2025","1232","","ui.WebFormTests","","ui.WebFormTests","textInputClearTest","textInputClearTest()",""
"passed","Mon May 12 14:53:30 GMT 2025","Mon May 12 14:53:31 GMT 2025","699","","ui.NavigationTests","","ui.NavigationTests","openNavigationTest","openNavigationTest()",""
"passed","Mon May 12 14:53:41 GMT 2025","Mon May 12 14:53:42 GMT 2025","891","","ui.WebFormTests","","ui.WebFormTests","dropdownDataListTest","dropdownDataListTest(String) [4] Los Angeles",""
"passed","Mon May 12 14:53:54 GMT 2025","Mon May 12 14:53:58 GMT 2025","3196","","ui.WebFormTests","","ui.WebFormTests","actionAPIMouseExampleRangeTest","actionAPIMouseExampleRangeTest()",""
"passed","Mon May 12 14:53:16 GMT 2025","Mon May 12 14:53:17 GMT 2025","875","","ui.ConsoleLogsTests","","ui.ConsoleLogsTests","openConsoleLogsTest","openConsoleLogsTest()",""
"passed","Mon May 12 14:54:00 GMT 2025","Mon May 12 14:54:00 GMT 2025","948","","ui.WebFormTests","","ui.WebFormTests","dropdownSelectByValueTest","dropdownSelectByValueTest(String) [1] 1",""
"passed","Mon May 12 14:53:50 GMT 2025","Mon May 12 14:53:51 GMT 2025","976","","ui.WebFormTests","","ui.WebFormTests","dropdownSelectByVisibleTextTest","dropdownSelectByVisibleTextTest(String) [3] Three",""
"passed","Mon May 12 14:53:49 GMT 2025","Mon May 12 14:53:50 GMT 2025","977","","ui.WebFormTests","","ui.WebFormTests","dropdownSelectByVisibleTextTest","dropdownSelectByVisibleTextTest(String) [2] Two",""
"passed","Mon May 12 14:53:51 GMT 2025","Mon May 12 14:53:52 GMT 2025","868","","ui.WebFormTests","","ui.WebFormTests","openWebFormTest","openWebFormTest()",""
"passed","Mon May 12 14:53:35 GMT 2025","Mon May 12 14:53:37 GMT 2025","1065","","ui.WebFormTests","","ui.WebFormTests","defaultCheckboxTest","defaultCheckboxTest()",""
"passed","Mon May 12 14:53:28 GMT 2025","Mon May 12 14:53:29 GMT 2025","723","","ui.MouseOverTests","","ui.MouseOverTests","openMouseOverTest","openMouseOverTest()",""
"passed","Mon May 12 14:53:23 GMT 2025","Mon May 12 14:53:24 GMT 2025","682","","ui.GeolocationTests","","ui.GeolocationTests","openGeolocationTest","openGeolocationTest()",""
"passed","Mon May 12 14:53:33 GMT 2025","Mon May 12 14:53:33 GMT 2025","720","","ui.SlowCalculatorTests","","ui.SlowCalculatorTests","openSlowCalculatorTest","openSlowCalculatorTest()",""
"passed","Mon May 12 14:53:26 GMT 2025","Mon May 12 14:53:27 GMT 2025","763","","ui.LoadingImagesTests","","ui.LoadingImagesTests","openLoadingImagesTest","openLoadingImagesTest()",""
"passed","Mon May 12 14:53:58 GMT 2025","Mon May 12 14:53:59 GMT 2025","877","","ui.WebFormTests","","ui.WebFormTests","readonlyInputFieldTest","readonlyInputFieldTest()",""
"passed","Mon May 12 14:54:00 GMT 2025","Mon May 12 14:54:01 GMT 2025","964","","ui.WebFormTests","","ui.WebFormTests","dropdownSelectByValueTest","dropdownSelectByValueTest(String) [2] 2",""
