"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun May 11 17:12:48 GMT 2025","Sun May 11 17:12:49 GMT 2025","897","","ui.WebFormTests","","ui.WebFormTests","checkedCheckboxTest","checkedCheckboxTest()",""
"passed","Sun May 11 17:12:42 GMT 2025","Sun May 11 17:12:43 GMT 2025","903","","ui.WebFormTests","","ui.WebFormTests","dropdownDataListTest","dropdownDataListTest(String) [3] Seattle",""
"passed","Sun May 11 17:12:56 GMT 2025","Sun May 11 17:12:59 GMT 2025","3166","","ui.WebFormTests","","ui.WebFormTests","actionAPIMouseExampleRangeTest","actionAPIMouseExampleRangeTest()",""
"passed","Sun May 11 17:13:03 GMT 2025","Sun May 11 17:13:04 GMT 2025","924","","ui.WebFormTests","","ui.WebFormTests","dropdownSelectByValueTest","dropdownSelectByValueTest(String) [3] 3",""
"passed","Sun May 11 17:12:52 GMT 2025","Sun May 11 17:12:53 GMT 2025","842","","ui.WebFormTests","","ui.WebFormTests","openWebFormTest","openWebFormTest()",""
"passed","Sun May 11 17:12:27 GMT 2025","Sun May 11 17:12:27 GMT 2025","551","","ui.HomePageTests","","ui.HomePageTests","openHomePageTest","openHomePageTest()",""
"passed","Sun May 11 17:12:51 GMT 2025","Sun May 11 17:12:52 GMT 2025","972","","ui.WebFormTests","","ui.WebFormTests","dropdownSelectByVisibleTextTest","dropdownSelectByVisibleTextTest(String) [2] Two",""
"passed","Sun May 11 17:12:20 GMT 2025","Sun May 11 17:12:20 GMT 2025","701","","ui.CookiesTests","","ui.CookiesTests","openCookiesTest","openCookiesTest()",""
"passed","Sun May 11 17:13:06 GMT 2025","Sun May 11 17:13:06 GMT 2025","663","","ui.WebStorageTests","","ui.WebStorageTests","openWebStorageTest","openWebStorageTest()",""
"passed","Sun May 11 17:12:53 GMT 2025","Sun May 11 17:12:54 GMT 2025","1069","","ui.WebFormTests","","ui.WebFormTests","textAreaFieldTest","textAreaFieldTest()",""
"passed","Sun May 11 17:12:25 GMT 2025","Sun May 11 17:12:26 GMT 2025","699","","ui.GeolocationTests","","ui.GeolocationTests","openGeolocationTest","openGeolocationTest()",""
"passed","Sun May 11 17:12:30 GMT 2025","Sun May 11 17:12:31 GMT 2025","674","","ui.LongPageTests","","ui.LongPageTests","openLongPageTest","openLongPageTest()",""
"passed","Sun May 11 17:13:05 GMT 2025","Sun May 11 17:13:06 GMT 2025","842","","ui.WebFormTests","","ui.WebFormTests","textInputTest","textInputTest()",""
"passed","Sun May 11 17:13:01 GMT 2025","Sun May 11 17:13:02 GMT 2025","919","","ui.WebFormTests","","ui.WebFormTests","dropdownSelectByValueTest","dropdownSelectByValueTest(String) [1] 1",""
"passed","Sun May 11 17:12:16 GMT 2025","Sun May 11 17:12:19 GMT 2025","2347","","ui.ABTestingTests","","ui.ABTestingTests","openABTestingTest","openABTestingTest()",""
"failed","Sun May 11 17:13:04 GMT 2025","Sun May 11 17:13:05 GMT 2025","850","","ui.WebFormTests","","ui.WebFormTests","passwordInputTest","passwordInputTest()",""
"passed","Sun May 11 17:12:23 GMT 2025","Sun May 11 17:12:23 GMT 2025","701","","ui.DragAndDropTests","","ui.DragAndDropTests","openDragAndDropTest","openDragAndDropTest()",""
"passed","Sun May 11 17:13:02 GMT 2025","Sun May 11 17:13:03 GMT 2025","908","","ui.WebFormTests","","ui.WebFormTests","dropdownSelectByValueTest","dropdownSelectByValueTest(String) [2] 2",""
"passed","Sun May 11 17:12:43 GMT 2025","Sun May 11 17:12:44 GMT 2025","862","","ui.WebFormTests","","ui.WebFormTests","dropdownDataListTest","dropdownDataListTest(String) [4] Los Angeles",""
"passed","Sun May 11 17:12:54 GMT 2025","Sun May 11 17:12:55 GMT 2025","855","","ui.WebFormTests","","ui.WebFormTests","colorPickerTest","colorPickerTest()",""
"passed","Sun May 11 17:12:20 GMT 2025","Sun May 11 17:12:21 GMT 2025","691","","ui.DataTypesTests","","ui.DataTypesTests","openDataTypesTest","openDataTypesTest()",""
"passed","Sun May 11 17:12:32 GMT 2025","Sun May 11 17:12:33 GMT 2025","662","","ui.NavigationTests","","ui.NavigationTests","openNavigationTest","openNavigationTest()",""
"passed","Sun May 11 17:12:31 GMT 2025","Sun May 11 17:12:32 GMT 2025","673","","ui.MouseOverTests","","ui.MouseOverTests","openMouseOverTest","openMouseOverTest()",""
"passed","Sun May 11 17:12:22 GMT 2025","Sun May 11 17:12:23 GMT 2025","699","","ui.DownloadFilesTests","","ui.DownloadFilesTests","openDownloadFilesTest","openDownloadFilesTest()",""
"passed","Sun May 11 17:12:21 GMT 2025","Sun May 11 17:12:22 GMT 2025","708","","ui.DialogBoxesTests","","ui.DialogBoxesTests","openDialogBoxesTest","openDialogBoxesTest()",""
"passed","Sun May 11 17:12:41 GMT 2025","Sun May 11 17:12:41 GMT 2025","933","","ui.WebFormTests","","ui.WebFormTests","dropdownDataListTest","dropdownDataListTest(String) [1] San Francisco",""
"passed","Sun May 11 17:12:27 GMT 2025","Sun May 11 17:12:28 GMT 2025","681","","ui.IFrameTests","","ui.IFrameTests","openIFramesTest","openIFramesTest()",""
"failed","Sun May 11 17:12:32 GMT 2025","Sun May 11 17:12:32 GMT 2025","652","","ui.MultilanguageTests","","ui.MultilanguageTests","openMultilanguageTest","openMultilanguageTest()",""
"passed","Sun May 11 17:12:38 GMT 2025","Sun May 11 17:12:38 GMT 2025","899","","ui.WebFormTests","","ui.WebFormTests","defaultCheckboxTest","defaultCheckboxTest()",""
"passed","Sun May 11 17:12:50 GMT 2025","Sun May 11 17:12:51 GMT 2025","970","","ui.WebFormTests","","ui.WebFormTests","dropdownSelectByVisibleTextTest","dropdownSelectByVisibleTextTest(String) [1] One",""
"passed","Sun May 11 17:12:34 GMT 2025","Sun May 11 17:12:34 GMT 2025","661","","ui.RandomCalculatorTests","","ui.RandomCalculatorTests","openRandomCalculatorTest","openRandomCalculatorTest()",""
"passed","Sun May 11 17:12:34 GMT 2025","Sun May 11 17:12:35 GMT 2025","663","","ui.ShadowDOMTests","","ui.ShadowDOMTests","openShadowDOMTest","openShadowDOMTest()",""
"passed","Sun May 11 17:12:30 GMT 2025","Sun May 11 17:12:30 GMT 2025","661","","ui.LoginFormTests","","ui.LoginFormTests","openLoginFormTest","openLoginFormTest()",""
"passed","Sun May 11 17:12:23 GMT 2025","Sun May 11 17:12:24 GMT 2025","707","","ui.DrawingInCanvasTests","","ui.DrawingInCanvasTests","openDrawingInCanvasTest","openDrawingInCanvasTest()",""
"passed","Sun May 11 17:12:47 GMT 2025","Sun May 11 17:12:48 GMT 2025","846","","ui.WebFormTests","","ui.WebFormTests","openWebFormTestWithCheck","openWebFormTestWithCheck()",""
"passed","Sun May 11 17:12:29 GMT 2025","Sun May 11 17:12:30 GMT 2025","826","","ui.LoadingImagesTests","","ui.LoadingImagesTests","openLoadingImagesTest","openLoadingImagesTest()",""
"passed","Sun May 11 17:12:41 GMT 2025","Sun May 11 17:12:42 GMT 2025","910","","ui.WebFormTests","","ui.WebFormTests","dropdownDataListTest","dropdownDataListTest(String) [2] New York",""
"passed","Sun May 11 17:12:49 GMT 2025","Sun May 11 17:12:50 GMT 2025","955","","ui.WebFormTests","","ui.WebFormTests","datePickerTest","datePickerTest()",""
"passed","Sun May 11 17:12:36 GMT 2025","Sun May 11 17:12:38 GMT 2025","1256","","ui.WebFormTests","","ui.WebFormTests","textInputClearTest","textInputClearTest()",""
"passed","Sun May 11 17:12:45 GMT 2025","Sun May 11 17:12:46 GMT 2025","877","","ui.WebFormTests","","ui.WebFormTests","disabledInputFieldTest","disabledInputFieldTest()",""
"passed","Sun May 11 17:12:46 GMT 2025","Sun May 11 17:12:47 GMT 2025","977","","ui.WebFormTests","","ui.WebFormTests","radioButtonsTest","radioButtonsTest()",""
"passed","Sun May 11 17:12:25 GMT 2025","Sun May 11 17:12:25 GMT 2025","794","","ui.FramesTests","","ui.FramesTests","openFramesTest","openFramesTest()",""
"passed","Sun May 11 17:13:00 GMT 2025","Sun May 11 17:13:01 GMT 2025","998","","ui.WebFormTests","","ui.WebFormTests","submitFormTest","submitFormTest()",""
"passed","Sun May 11 17:12:28 GMT 2025","Sun May 11 17:12:29 GMT 2025","656","","ui.InfiniteScrollTests","","ui.InfiniteScrollTests","openInfiniteScrollTest","openInfiniteScrollTest()",""
"passed","Sun May 11 17:12:24 GMT 2025","Sun May 11 17:12:25 GMT 2025","692","","ui.DropdownMenuTests","","ui.DropdownMenuTests","openDropdownMenuTest","openDropdownMenuTest()",""
"passed","Sun May 11 17:12:26 GMT 2025","Sun May 11 17:12:27 GMT 2025","680","","ui.GetUserMediaTests","","ui.GetUserMediaTests","openGetUserMediaTest","openGetUserMediaTest()",""
"passed","Sun May 11 17:12:33 GMT 2025","Sun May 11 17:12:34 GMT 2025","659","","ui.NotificationsTests","","ui.NotificationsTests","openNotificationsTest","openNotificationsTest()",""
"broken","Sun May 11 17:12:55 GMT 2025","Sun May 11 17:12:56 GMT 2025","848","","ui.WebFormTests","","ui.WebFormTests","fileInputTest","fileInputTest()",""
"passed","Sun May 11 17:12:36 GMT 2025","Sun May 11 17:12:36 GMT 2025","683","","ui.SlowLoginTests","","ui.SlowLoginTests","openSlowLoginTest","openSlowLoginTest()",""
"passed","Sun May 11 17:12:44 GMT 2025","Sun May 11 17:12:45 GMT 2025","873","","ui.WebFormTests","","ui.WebFormTests","dropdownDataListTest","dropdownDataListTest(String) [5] Chicago",""
"passed","Sun May 11 17:12:19 GMT 2025","Sun May 11 17:12:20 GMT 2025","822","","ui.ConsoleLogsTests","","ui.ConsoleLogsTests","openConsoleLogsTest","openConsoleLogsTest()",""
"passed","Sun May 11 17:12:40 GMT 2025","Sun May 11 17:12:40 GMT 2025","919","","ui.WebFormTests","","ui.WebFormTests","passwordClearTest","passwordClearTest()",""
"passed","Sun May 11 17:12:59 GMT 2025","Sun May 11 17:13:00 GMT 2025","853","","ui.WebFormTests","","ui.WebFormTests","readonlyInputFieldTest","readonlyInputFieldTest()",""
"passed","Sun May 11 17:12:35 GMT 2025","Sun May 11 17:12:36 GMT 2025","665","","ui.SlowCalculatorTests","","ui.SlowCalculatorTests","openSlowCalculatorTest","openSlowCalculatorTest()",""
"passed","Sun May 11 17:12:52 GMT 2025","Sun May 11 17:12:52 GMT 2025","953","","ui.WebFormTests","","ui.WebFormTests","dropdownSelectByVisibleTextTest","dropdownSelectByVisibleTextTest(String) [3] Three",""
"passed","Sun May 11 17:12:38 GMT 2025","Sun May 11 17:12:40 GMT 2025","1143","","ui.WebFormTests","","ui.WebFormTests","textAreaFieldClearTest","textAreaFieldClearTest()",""
